"cluster_membership","name","degrees","color","betweeness","closeness","eigenvectors"
1,"TOB1",4,"#FF0000",0,0.00268096514745308,0.0684248127322645
46,"CSF3R",0,"#0007FF",0,NA,0
1,"SHROOM3",6,"#FF0000",1.59146127730401,0.0026525198938992,0.088535155978816
9,"CCDC80",26,"#FFB400",146.566791154057,0.00306748466257669,0.906847742579668
9,"FRMD6",21,"#FFB400",245.898082493165,0.00315457413249211,0.749651918609578
9,"CXCL12",26,"#FFB400",209.616333227869,0.00318471337579618,0.88878736207533
1,"CCNA2",26,"#FF0000",672.44631054141,0.00344827586206897,0.404295931119025
47,"TIGD5",0,"#0F00FF",0,NA,0
1,"ALDH6A1",13,"#FF0000",57.9873725204096,0.00273224043715847,0.15392707766576
9,"POSTN",19,"#FFB400",22.3648629583931,0.00274725274725275,0.730089421371051
9,"FZD4",13,"#FFB400",23.0461353630717,0.00280898876404494,0.511495184906157
1,"NCAPG2",8,"#FF0000",0.866666666666667,0.00253164556962025,0.0941872110211264
48,"SDC4",0,"#2600FF",0,NA,0
9,"SNED1",30,"#FFB400",543.698781088553,0.00332225913621262,0.947671136325571
49,"PLEKHA4",0,"#3C00FF",0,NA,0
13,"KCNAB2",14,"#F0FF00",16.8145652696327,0.00273224043715847,0.174445835960268
13,"SH3KBP1",7,"#F0FF00",7.55434573723106,0.00277777777777778,0.0709196327580408
50,"IGSF9",2,"#5300FF",133,0.00211416490486258,0.00936540744290256
51,"DNLZ",0,"#6900FF",0,NA,0
1,"S1PR3",2,"#FF0000",0,0.00247524752475248,0.041587683741064
9,"PTPRE",15,"#FFB400",76.0786456232117,0.00291545189504373,0.583559085229198
45,"FLJ23867",1,"#001EFF",0,1,0
6,"PLSCR1",4,"#FF7100",142.163614122924,0.00235294117647059,0.0132078201679337
1,"LMO4",11,"#FF0000",37.8857553911987,0.00289855072463768,0.139005708406178
1,"IFITM2",1,"#FF0000",0,0.0022075055187638,0.0129257547342289
13,"LRRC25",19,"#F0FF00",103.905965407547,0.00292397660818713,0.207791959803027
52,"TST",0,"#8000FF",0,NA,0
13,"NCF4",21,"#F0FF00",270.507812231349,0.00298507462686567,0.214289556514477
1,"NCOA7",16,"#FF0000",223.609512539697,0.00294117647058824,0.12654864642352
13,"IL4R",1,"#F0FF00",0,0.00197628458498024,0.00997368136746578
53,"CCDC64B",0,"#9600FF",0,NA,0
54,"SGPP1",0,"#AD00FF",0,NA,0
13,"RUNX3",18,"#F0FF00",127.715518992158,0.00297619047619048,0.16485072933426
55,"SLC5A6",0,"#C300FF",0,NA,0
6,"IFIH1",5,"#FF7100",15.0721005239003,0.00203252032520325,0.0102287929769073
1,"PREX1",20,"#FF0000",61.3020497880681,0.00301204819277108,0.258884251985822
13,"PLAUR",8,"#F0FF00",166.78819809063,0.00277008310249307,0.0676532871040196
56,"CDK18",0,"#DA00FF",0,NA,0
57,"SLC43A2",0,"#F000FF",0,NA,0
58,"GK",0,"#FF00F7",0,NA,0
13,"ICAM2",4,"#F0FF00",0,0.00237529691211401,0.0676025921286155
1,"YPEL2",11,"#FF0000",45.9685423808014,0.00298507462686567,0.207823579560602
59,"CBR1",0,"#FF00E1",0,NA,0
1,"MEX3A",14,"#FF0000",316.293382404598,0.00292397660818713,0.179422698766937
60,"ZNRF3",0,"#FF00CA",0,NA,0
9,"PTPRM",19,"#FFB400",25.8482735284788,0.00293255131964809,0.746936508372
